__status,sys_created_by,sys_created_on,sys_id,sys_mod_count,sys_updated_by,sys_updated_on,u_bldg_code,u_building,u_comments,u_floor,u_name,u_room,u_room_key,u_tr
success,RhondaAdmin,2014-03-24 21:03:53,5b120f1389a31100090da23bf5f0e49b,0,RhondaAdmin,2014-03-24 21:03:53,3db04b1389a31100090da23bf5f0e4e5,5657db4454cd6c00370f77cd1a50eecc, (MSCNS Floor: 08 Rm: 8048),b5579fc454cd6c00370f77cd1a50ee4c,CSRBN08A,,PMS9,A
success,RhondaAdmin,2014-03-24 21:04:10,5b220f1389a31100090da23bf5f0e4e4,0,RhondaAdmin,2014-03-24 21:04:10,c6b04b1389a31100090da23bf5f0e4e8,e456934454cd6c00370f77cd1a50eed9,card access and BACD7E key (MSCNS Floor: 03 Rm: 3025),59575bc454cd6c00370f77cd1a50eec9,PB03A,,badge,A
success,RhondaAdmin,2014-03-24 21:04:26,5b324f1389a31100090da23bf5f0e42e,1,svc-midsrv,2014-06-07 09:01:09,f9b04b1389a31100090da23bf5f0e4e4,ee575b4454cd6c00370f77cd1a50ee21, (MSCNS Floor: 01 Rm: 1526),ac571bc454cd6c00370f77cd1a50eef8,BLVD01V,,Bauer rm.,V
success,RhondaAdmin,2014-03-24 21:24:27,5cd68f5389a31100090da23bf5f0e453,0,RhondaAdmin,2014-03-24 21:24:27,,,,,DANFORTH01A,,,
success,RhondaAdmin,2014-03-24 21:03:45,5d120f1389a31100090da23bf5f0e488,0,RhondaAdmin,2014-03-24 21:03:45,f5b04b1389a31100090da23bf5f0e4e4,09571b4454cd6c00370f77cd1a50ee43, (MSCNS Floor: 03 Rm: 03011),59575bc454cd6c00370f77cd1a50eec9,BAR03B,,CBCA1,B
success,RhondaAdmin,2014-03-24 21:04:34,5d424f1389a31100090da23bf5f0e44b,0,RhondaAdmin,2014-03-24 21:04:34,86b04b1389a31100090da23bf5f0e4e8,87569b0454cd6c00370f77cd1a50eef4,Changed from BB5 12/9/12 (MSCNS Floor: 02 Rm: 2021),30575bc454cd6c00370f77cd1a50ee5f,OS02A,,PMS9,A
success,RhondaAdmin,2014-03-24 21:24:30,5dd68f5389a31100090da23bf5f0e46c,1,svc-midsrv,2014-06-07 09:01:25,9e6ce36351e3110032e3236e4abe2784,,contact security (MSCNS Floor: 01 Rm: 1203),ac571bc454cd6c00370f77cd1a50eef8,NF01A,,security,A
success,RhondaAdmin,2014-03-24 21:03:53,5f120f1389a31100090da23bf5f0e49a,0,RhondaAdmin,2014-03-24 21:03:53,3db04b1389a31100090da23bf5f0e4e5,5657db4454cd6c00370f77cd1a50eecc, (MSCNS Floor: 05 Rm: 5048),b1579bc454cd6c00370f77cd1a50ee4e,CSRBN05A,,PMS9,A
success,RhondaAdmin,2014-03-24 21:03:53,5f120f1389a31100090da23bf5f0e49b,0,RhondaAdmin,2014-03-24 21:03:53,3db04b1389a31100090da23bf5f0e4e5,5657db4454cd6c00370f77cd1a50eecc, (MSCNS Floor: 09 Rm: 9048),fa57dfc454cd6c00370f77cd1a50ee4e,CSRBN09A,,PMS9,A
success,RhondaAdmin,2014-03-24 21:03:54,5f120f1389a31100090da23bf5f0e4a8,0,RhondaAdmin,2014-03-24 21:03:54,7db04b1389a31100090da23bf5f0e4e5,fd571b4454cd6c00370f77cd1a50eebf,Guard will let you in. (MSCNS Floor: 01 Rm: 102),ac571bc454cd6c00370f77cd1a50eef8,CTG01A,,guard,A
success,RhondaAdmin,2014-03-24 21:04:09,5f220f1389a31100090da23bf5f0e4e2,0,RhondaAdmin,2014-03-24 21:04:09,46b04b1389a31100090da23bf5f0e4e8,8c56db0454cd6c00370f77cd1a50ee92, (MSCNS Floor: 08 Rm: 829),b5579fc454cd6c00370f77cd1a50ee4c,OLIN08A,,OHA 4.6,A
success,RhondaAdmin,2014-03-24 21:04:10,5f220f1389a31100090da23bf5f0e4e4,0,RhondaAdmin,2014-03-24 21:04:10,0ab04b1389a31100090da23bf5f0e4e8,0657db4454cd6c00370f77cd1a50ee91,must call Security first (MSCNS Floor: 04 Rm: 0401),25579bc454cd6c00370f77cd1a50ee23,PKV04A,,PMS9,A
success,RhondaAdmin,2014-03-24 21:04:26,5f324f1389a31100090da23bf5f0e42d,1,svc-midsrv,2014-06-07 09:01:08,fdb04b1389a31100090da23bf5f0e4e6,28569f0454cd6c00370f77cd1a50ee59, (MSCNS Floor: 0G Rm: 2),a8c9fe60406c0100a7c4289f845e4dd5,HAP00A,,LM1,A
success,RhondaAdmin,2014-03-24 21:04:15,60324f1389a31100090da23bf5f0e409,0,RhondaAdmin,2014-03-24 21:04:15,75b04b1389a31100090da23bf5f0e4e7,c4575f4454cd6c00370f77cd1a50ee19, (MSCNS Floor: 02 Rm: 2031),30575bc454cd6c00370f77cd1a50ee5f,LTC02B,,na,B
success,RhondaAdmin,2014-03-24 21:04:31,60424f1389a31100090da23bf5f0e446,1,svc-midsrv,2014-06-07 09:01:16,02b04b1389a31100090da23bf5f0e4ea,01571b4454cd6c00370f77cd1a50ee44,"elevator lobby area, next to stairwell door (MSCNS Floor: 10 Rm: lobby)",cd57530854cd6c00370f77cd1a50ee20,SWT10A,,None,A
